사용일자,호선명,지하철역,승차총승객수,하차총승객수
202001,과천선,경마공원,94522,96668
202001,과천선,과천,28627,25323
202001,과천선,대공원,31983,33666
202001,과천선,범계,159206,155333
202001,과천선,선바위,40354,34404
202001,과천선,인덕원,125178,123819
202001,과천선,정부과천청사,61120,59556
202001,과천선,평촌,70508,67944
202002,과천선,경마공원,95429,97467
202002,과천선,과천,25951,23892
202002,과천선,대공원,19663,20639
202002,과천선,범계,150263,146068
202002,과천선,선바위,37165,33442
202002,과천선,인덕원,118561,117969
202002,과천선,정부과천청사,53009,51476
202002,과천선,평촌,67732,66186
202003,과천선,경마공원,5422,5329
202003,과천선,과천,17214,15067
202003,과천선,대공원,17183,18882
202003,과천선,범계,97895,94759
202003,과천선,선바위,23966,22558
202003,과천선,인덕원,74054,71996
202003,과천선,정부과천청사,23780,24611
202003,과천선,평촌,44488,43294
202004,과천선,경마공원,4928,4707
202004,과천선,과천,19610,16949
202004,과천선,대공원,26927,29654
202004,과천선,범계,106679,104084
202004,과천선,선바위,26691,24947
202004,과천선,인덕원,81359,79008
202004,과천선,정부과천청사,27793,28569
202004,과천선,평촌,47480,46297
202005,과천선,경마공원,7747,7387
202005,과천선,과천,26480,23997
202005,과천선,대공원,35962,39296
202005,과천선,범계,148680,144055
202005,과천선,선바위,37998,35068
202005,과천선,인덕원,114045,110818
202005,과천선,정부과천청사,39080,39737
202005,과천선,평촌,66631,65158
202006,과천선,경마공원,7182,7017
202006,과천선,과천,23944,21242
202006,과천선,대공원,26252,29084
202006,과천선,범계,122687,119658
202006,과천선,선바위,31720,29220
202006,과천선,인덕원,95418,92677
202006,과천선,정부과천청사,33234,33250
202006,과천선,평촌,55317,53903
202007,과천선,경마공원,8746,8983
202007,과천선,과천,24054,21492
202007,과천선,대공원,24733,26695
202007,과천선,범계,128925,125664
202007,과천선,선바위,32985,29719
202007,과천선,인덕원,98019,95139
202007,과천선,정부과천청사,34784,34737
202007,과천선,평촌,58063,56640
202008,과천선,경마공원,8185,7973
202008,과천선,과천,22519,20682
202008,과천선,대공원,17338,18571
202008,과천선,범계,122895,119843
202008,과천선,선바위,30848,28691
202008,과천선,인덕원,92452,91886
202008,과천선,정부과천청사,32263,32309
202008,과천선,평촌,56272,55165
202009,과천선,경마공원,4961,4777
202009,과천선,과천,19968,17549
202009,과천선,대공원,23267,24976
202009,과천선,범계,95303,92588
202009,과천선,선바위,26611,25186
202009,과천선,인덕원,75382,73855
202009,과천선,정부과천청사,27609,28074
202009,과천선,평촌,45897,45157
202010,과천선,경마공원,7612,7288
202010,과천선,과천,27743,24177
202010,과천선,대공원,53703,56992
202010,과천선,범계,139763,136462
202010,과천선,선바위,37977,33953
202010,과천선,인덕원,110206,105456
202010,과천선,정부과천청사,39206,39569
202010,과천선,평촌,63820,62703
202011,과천선,경마공원,25216,24915
202011,과천선,과천,26606,23751
202011,과천선,대공원,33868,36281
202011,과천선,범계,136094,132014
202011,과천선,선바위,36831,32808
202011,과천선,인덕원,108880,105197
202011,과천선,정부과천청사,36608,37128
202011,과천선,평촌,64117,62530
202012,과천선,경마공원,5293,5082
202012,과천선,과천,17104,15685
202012,과천선,대공원,13431,14590
202012,과천선,범계,83040,80192
202012,과천선,선바위,20835,20168
202012,과천선,인덕원,65325,65370
202012,과천선,정부과천청사,22949,23660
202012,과천선,평촌,39993,39793
